Area,Temperature Change
Puerto Rico,0.31584322033898304
Saint Lucia,0.3114590395480226
Tuvalu,0.310151212553495
Wake Island,0.31012903225806454
"China, Taiwan Province of",0.30387005649717513
Indonesia,0.2956963276836158
Jordan,0.2932485875706215
Zimbabwe,0.28667937853107345
Belgium-Luxembourg,0.28121794871794875
Iceland,0.27119774011299436
New Zealand,0.2690141242937853
Oman,0.2678283687943262
Argentina,0.2657867231638418
Martinique,0.2648345120226308
Montserrat,0.26229142011834317
Antigua and Barbuda,0.26229142011834317
Saint Kitts and Nevis,0.26229142011834317
Palestine,0.2612005649717514
Cocos (Keeling) Islands,0.26064922206506363
Egypt,0.26051694915254237
Anguilla,0.2586850282485876
Guadeloupe,0.2584152542372881
Dominica,0.2579588652482269
Israel,0.2577005649717514
United States Virgin Islands,0.2565268361581921
Rwanda,0.2554304932735426
Tokelau,0.24962208067940553
British Virgin Islands,0.24954237288135592
Micronesia,0.2410084745762712
Norfolk Island,0.23234961832061068
Burundi,0.22832062780269058
Bangladesh,0.227680790960452
Micronesia (Federated States of),0.22220689655172415
India,0.2158997175141243
Nepal,0.2030536723163842
Pakistan,0.1994406779661017
USSR,0.19338978494623657
Chile,0.18474576271186444
South Georgia and the South Sandwich Islands,0.16095744680851062
Niue,0.16065384615384615
Antarctica,0.1590141242937853
Saint Pierre and Miquelon,0.15880367231638418
Singapore,0.15336498516320474
Yemen,0.1530530303030303
Ethiopia PDR,0.14904761904761904
Czechoslovakia,0.13654166666666664
Marshall Islands,0.10073275862068966
Pacific Islands Trust Territory,0.030488764044943818
Falkland Islands (Malvinas),0.023366141732283463
Yugoslav SFR,0.019088709677419356
Midway Island,0.010874345549738224
Pitcairn Islands,-0.018991166077738517
Nauru,-0.11503070175438597
